Material,Qty,Unit,GWP,AP,EP,ODP,SFP,Fossil_CO2,CH4,N2O
Aluminum,1,kg,2.40E-05,8.80E-08,1.60E-08,5.20E-14,3.10E-06,2.40E-05,2.30E-09,3.20E-11
Steel,1,kg,4.70E-04,1.70E-06,3.30E-07,1.00E-12,6.30E-05,4.70E-04,4.60E-08,6.40E-10
Drywall,1,kg,1.90E-04,7.10E-07,1.30E-07,4.20E-13,2.60E-05,1.90E-04,1.90E-08,2.60E-10
Concrete,1,kg,5.30E-03,2.00E-05,3.70E-06,1.20E-11,7.10E-04,5.30E-03,5.30E-07,7.20E-09
Inert,1,kg,2.10E-04,7.80E-07,1.50E-07,4.60E-13,2.80E-05,2.10E-04,2.10E-08,2.80E-10
Paint,1,kg,2.70E-06,9.90E-09,1.90E-09,5.90E-15,3.60E-07,2.70E-06,2.60E-10,3.60E-12
Polyurethane,1,kg,1.40E-05,5.10E-08,9.50E-09,3.00E-14,1.80E-06,1.40E-05,1.30E-09,1.90E-11
Polystyrene,1,kg,5.40E-06,2.00E-08,3.70E-09,1.20E-14,7.10E-07,5.30E-06,5.30E-10,7.30E-12
Polyethylene,1,kg,4.20E-06,1.60E-08,2.90E-09,9.30E-15,5.60E-07,4.20E-06,4.20E-10,5.70E-12
Polypropylene,1,kg,1.20E-05,4.40E-08,8.30E-09,2.60E-14,1.60E-06,1.20E-05,1.20E-09,1.60E-11
Polyvinylchloride,1,kg,5.60E-06,2.10E-08,3.90E-09,1.20E-14,7.50E-07,5.60E-06,5.60E-10,7.70E-12
Unspecified Plastic,1,kg,1.30E-05,4.60E-08,8.70E-09,2.80E-14,1.70E-06,1.20E-05,1.20E-09,1.70E-11
Wood,1,kg,1.80E-04,6.70E-07,1.30E-07,4.00E-13,2.40E-05,1.80E-04,1.80E-08,2.40E-10
Bamboo,1,kg,3.10E-06,1.10E-08,2.10E-09,6.80E-15,4.10E-07,3.10E-06,3.00E-10,4.20E-12
Agricultural Residues- Low Lignin,1,kg,3.10E-06,1.10E-08,2.10E-09,6.80E-15,4.10E-07,3.10E-06,3.00E-10,4.20E-12
Agricultural Residues- High Lignin,1,kg,3.10E-06,1.10E-08,2.10E-09,6.80E-15,4.10E-07,3.10E-06,3.00E-10,4.20E-12
Cellulose,1,kg,8.10E-06,3.00E-08,5.60E-09,1.80E-14,1.10E-06,8.00E-06,8.00E-10,1.10E-11
Fungi,1,kg,3.10E-06,1.10E-08,2.10E-09,6.80E-15,4.10E-07,3.10E-06,3.00E-10,4.20E-12
DEFAULT_BIOBASED,1,kg,1.80E-04,6.70E-07,1.30E-07,4.00E-13,2.40E-05,1.80E-04,1.80E-08,2.40E-10
DEFAULT_OTHER,1,kg,0.0134,0.0000917,0.0000266,4.08E-09,0.00252,0.0123,0.0000376,0.000000287,0,0